accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	assembly	fasta_file	shear_method	size_selection	ccs_algorithm	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact
SRR18158600	SRP305758	new	PRJNA701308	SAMN26267388	HG04115	HG04115.HFSS	PacBio HiFi sequencing of HG04115	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 23kb fractionated gDNA	bam	m64076_210623_104349.hifi_reads.bam	m64076_210625_220013.hifi_reads.bam	m64076_210627_085544.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158602	SRP305758	new	PRJNA701308	SAMN26267389	HG04199	HG04199.HFSS	PacBio HiFi sequencing of HG04199	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	bam	m54329U_210614_155303.hifi_reads.bam	m54329U_210620_071842.hifi_reads.bam	m54329U_210621_233920.hifi_reads.bam	m64076_210613_183806.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158603	SRP305758	new	PRJNA701308	SAMN26267390	HG04204	HG04204.HFSS	PacBio HiFi sequencing of HG04204	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m54329U_210507_224951-bc1003_BAK8A_OA.hifi_reads.bam	m54329U_210514_222517-bc1003_BAK8A_OA.hifi_reads.bam	m54329U_210517_210109-bc1003_BAK8A_OA.hifi_reads.bam	m54329U_210519_065152-bc1003_BAK8A_OA.hifi_reads.bam	m54329U_210520_213459-bc1003_BAK8A_OA.hifi_reads.bam	unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158583	SRP305758	new	PRJNA701308	SAMN26267391	HG04228	HG04228a.HFSS	PacBio HiFi sequencing of HG04228	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m54329U_210507_224951-bc1008_BAK8A_OA.hifi_reads.bam					unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158584	SRP305758	new	PRJNA701308	SAMN26267392	HG02135	HG02135a.HFSS	PacBio HiFi sequencing of HG02135	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m54329U_210615_233707-bc1009_BAK8A_OA.hifi_reads.bam	m54329U_210507_224951-bc1009_BAK8A_OA.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158605	SRP305758	new	PRJNA701308	SAMN26267393	HG01884	HG01884.HFSS	PacBio HiFi sequencing of HG01884	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 18kb fractionated gDNA	bam	m54329U_210716_214728.hifi_reads.bam	m54329U_210718_084331.hifi_reads.bam	m54329U_210713_205453.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158606	SRP305758	new	PRJNA701308	SAMN26267392	HG02135	HG02135.HFSS	PacBio HiFi sequencing of HG02135	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	bam	m64076_210529_081414.hifi_reads.bam	m64076_210602_215048.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158585	SRP305758	new	PRJNA701308	SAMN26267392	HG02135	HG02135.HFSS3	PacBio HiFi sequencing of HG02135	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m64076_210719_222908.hifi_reads.bam	m54329U_210715_074913.hifi_reads.bam				unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158587	SRP305758	new	PRJNA701308	SAMN26267394	HG02293	HG02293.HFSS	PacBio HiFi sequencing of HG02293	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 24kb fractionated gDNA	bam	m64076_210716_220011.hifi_reads.bam	m54329U_210719_222842.hifi_reads.bam	m54329U_210721_092510.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158586	SRP305758	new	PRJNA701308	SAMN26267395	HG02300	HG02300.HFSS	PacBio HiFi sequencing of HG02300	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 21kb fractionated gDNA	bam	m54329U_210702_182525.hifi_reads.bam	m54329U_210711_215946.hifi_reads.bam	m54329U_210710_123004.hifi_reads.bam			unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158588	SRP305758	new	PRJNA701308	SAMN26267396	HG02738	HG02738.HFSS	PacBio HiFi sequencing of HG02738	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 22kb fractionated gDNA	bam	m64076_210706_214544.hifi_reads.bam	m64076_210714_200553.hifi_reads.bam	m64076_210718_085619.hifi_reads.bam	m64076_210711_102225.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158589	SRP305758	new	PRJNA701308	SAMN26267397	HG04184	HG04184.HFSS	PacBio HiFi sequencing of HG04184	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64076_210708_084125.hifi_reads.bam	m64076_210709_232529.hifi_reads.bam	m64076_210712_194121.hifi_reads.bam	m64076_210701_234028.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
SRR18158590	SRP305758	new	PRJNA701308	SAMN26267391	HG04228	HG04228.HFSS	PacBio HiFi sequencing of HG04228	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 19kb fractionated gDNA	bam	m64076_210620_030428.hifi_reads.bam	m64076_210618_160639.hifi_reads.bam	m64076_210617_050849.hifi_reads.bam	m54329U_210725_100455.hifi_reads.bam		unaligned		Megaruptor 3	PippinHT	6.0.0	P2.2	C2	University of Washington	kmiyamot@uw.edu
