accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	shear_method	size_selection	ccs_algorithm	data_type	primrose_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact
SRR23732293	SRP305758	new	PRJNA701308	SAMN33621951	HG02155	HG02155_lib1	PacBio HiFi sequencing of HG02155	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220728_173215-bc1012.5mc.hifi_reads.bam	m64136_220705_120453-bc1012.5mc.hifi_reads.bam	m64136_220701_181202-bc1012.5mc.hifi_reads.bam	m64136_220703_150713-bc1012.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732292	SRP305758	new	PRJNA701308	SAMN33621952	HG02258	HG02258_lib1	PacBio HiFi sequencing of HG02258	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_211217_180919-bc1011.5mc.hifi_reads.bam	m64043_211219_050421-bc1011.5mc.hifi_reads.bam	m64043_211220_160211-bc1011.5mc.hifi_reads.bam	m64043_220114_181052-bc1011.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732291	SRP305758	new	PRJNA701308	SAMN33621953	HG02273	HG02273_lib1	PacBio HiFi sequencing of HG02273	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220429_171542-bc1002.5mc.hifi_reads.bam	m64043_220503_153752-bc1002.5mc.hifi_reads.bam	m64043_220501_041051-bc1002.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732290	SRP305758	new	PRJNA701308	SAMN33621954	HG02965	HG02965_lib1	PacBio HiFi sequencing of HG02965	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220715_182700-bc1017.5mc.hifi_reads.bam	m64043_220719_122051-bc1017.5mc.hifi_reads.bam	m64043_220717_152237-bc1017.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732289	SRP305758	new	PRJNA701308	SAMN33621955	HG02976	HG02976_lib1	PacBio HiFi sequencing of HG02976	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220621_134351-bc1009.5mc.hifi_reads.bam	m64043_220619_164635-bc1009.5mc.hifi_reads.bam	m64043_220726_203720-bc1009.5mc.hifi_reads.bam	m64043_220617_195135-bc1009.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732288	SRP305758	new	PRJNA701308	SAMN33621956	HG03195	HG03195_lib1	PacBio HiFi sequencing of HG03195	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64136_220617_195203-bc1010.5mc.hifi_reads.bam	m64136_220619_164654-bc1010.5mc.hifi_reads.bam	m64136_220621_134558-bc1010.5mc.hifi_reads.bam	m64043_220726_203720-bc1010.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732287	SRP305758	new	PRJNA701308	SAMN33621957	HG03225	HG03225_lib1	PacBio HiFi sequencing of HG03225	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220516_150157-bc1008.5mc.hifi_reads.bam	m64043_220518_120044-bc1008.5mc.hifi_reads.bam	m64043_220726_203720-bc1008.5mc.hifi_reads.bam	m64136_220518_004520-bc1008.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732286	SRP305758	new	PRJNA701308	SAMN33621958	HG03834	HG03834_lib1	PacBio HiFi sequencing of HG03834	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220107_191226-bc1012.5mc.hifi_reads.bam	m64043_220109_060731-bc1012.5mc.hifi_reads.bam	m64043_220110_170603-bc1012.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732285	SRP305758	new	PRJNA701308	SAMN33621959	HG06807	MGISTL_PAN027_HG06807_lib1	PacBio HiFi sequencing of HG06807	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_211120_054831-bc1008.5mc.hifi_reads.bam	m64043_211121_164646-bc1008.5mc.hifi_reads.bam	m64043_211118_185250-bc1008.5mc.hifi_reads.bam	m64043_211222_184851-bc1008.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732284	SRP305758	new	PRJNA701308	SAMN33621960	NA18612	NA18612_lib1	PacBio HiFi sequencing of NA18612	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220708_205637-bc1015.5mc.hifi_reads.bam	m64043_220712_145025-bc1015.5mc.hifi_reads.bam	m64043_220710_175250-bc1015.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732282	SRP305758	new	PRJNA701308	SAMN33621961	NA18971	NA18971_lib1	PacBio HiFi sequencing of NA18971	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64043_220703_150718-bc1011.5mc.hifi_reads.bam	m64043_220705_120954-bc1011.5mc.hifi_reads.bam	m64043_220728_173215-bc1011.5mc.hifi_reads.bam	m64043_220701_181144-bc1011.5mc.hifi_reads.bam	unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
SRR23732281	SRP305758	new	PRJNA701308	SAMN33621962	NA20805	NA20805_lib1	PacBio HiFi sequencing of NA20805	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA	bam	m64136_220726_203708-bc1020.5mc.hifi_reads.bam	m64136_220730_113921-bc1020.5mc.hifi_reads.bam	m64136_220728_160902-bc1020.5mc.hifi_reads.bam		unaligned		Megaruptor 1	SageELF	6.0.0	unaligned reads	1.3.0	P2.2	C2	Washington University	tgraves@wustl.edu
